Instancia,Tipo,n,n_seeds,F_media,F_desvio,F_melhor,F_pior,SOTA,Dev_media,Dev_melhor
AUpdata_corrSergio_200_9950_4_100_3,P,200,10,64407.3073059045,4263.252222201566,59515.15747049,70937.850181555,57528.28064390002,0.1195764341469832,0.034537392815348386
AUpdata_corrSergio_200_9950_5_100_1,P,200,10,58116.31686369901,893.3055426585282,56668.26229333,59715.5288891251,51434.61686117002,0.1299066739539235,0.10175336673132804
AUpdata_corrSergio_200_9950_5_100_2,P,200,10,61979.55881172,2417.5844723435544,59662.265263795,67114.98684421,56196.40892875002,0.10290959855285935,0.06167398239697583
AUpdata_corrSergio_200_9950_5_100_3,P,200,10,62169.76823813899,3443.6523192996847,57703.8155309,66429.227941815,53654.00366245503,0.15871629318210528,0.07548014299031468
AUpdata_corrSergio_500_124750_10_100_1,P,500,10,86466.85910192702,1761.6947130486915,84008.5773522351,90482.614184735,,,
AUpdata_corrSergio_500_124750_10_100_2,P,500,10,90694.51416881099,1490.0460392366253,88542.16715003,93410.5284298749,,,
AUpdata_corrSergio_500_124750_10_100_3,P,500,10,90716.03083512899,2787.4454737912074,86066.4313813199,95170.1276229951,,,
AUpdata_corrSergio_500_124750_2_100_1,P,500,10,115247.059075884,3758.9595847773317,108641.571431395,120694.959228125,,,
AUpdata_corrSergio_500_124750_2_100_2,P,500,10,119212.1518047265,2598.829424336794,115095.02656226,123917.263833785,,,
AUpdata_corrSergio_500_124750_2_100_3,P,500,10,120224.6676364615,4160.514811374128,112512.636571695,127105.35525326,,,
AUpdata_corrSergio_500_124750_3_100_1,P,500,10,106343.96676941549,2511.251219014379,102022.29586217,109049.73857557,,,
AUpdata_corrSergio_500_124750_3_100_2,P,500,10,111774.683947376,1137.0245899015129,110275.65558588,113575.602262805,,,
AUpdata_corrSergio_500_124750_3_100_3,P,500,10,113172.5252201055,3539.209881513601,105431.15894027,117647.43835617,,,
AUpdata_corrSergio_500_124750_4_100_1,P,500,10,102111.36051820403,3174.121266292746,96729.6048990801,105682.76338391,,,
AUpdata_corrSergio_500_124750_4_100_2,P,500,10,108721.6635035645,3357.198074915126,102507.83410915,113300.88533737,,,
AUpdata_corrSergio_500_124750_4_100_3,P,500,10,107358.25606438,3542.4103867795957,100859.309875055,113290.899294635,,,
AUpdata_corrSergio_500_124750_5_100_1,P,500,10,97474.15620290801,3147.95224099895,91360.85217706,100916.354393185,,,
AUpdata_corrSergio_500_124750_5_100_2,P,500,10,104095.00457855,2646.486193949705,99299.57206719,107959.16029691,,,
AUpdata_corrSergio_500_124750_5_100_3,P,500,10,105744.017160237,2331.224320596337,102408.77943609,110210.654958055,,,
AUpdata_corrSergio_500_187125_10_100_1,P,500,10,82731.17111919395,1120.010879630035,80962.4868110499,84652.120008295,,,
AUpdata_corrSergio_500_187125_10_100_2,P,500,10,83132.68254706202,2754.5292312077886,78195.37408539,86981.37300264,,,
AUpdata_corrSergio_500_187125_10_100_3,P,500,10,80254.044290361,2005.4541106959466,76626.6934542,83534.96005441,,,
AUpdata_corrSergio_500_187125_2_100_1,P,500,10,107699.135616282,1346.7352227066149,105615.292622,110079.456910445,,,
AUpdata_corrSergio_500_187125_2_100_2,P,500,10,105514.5395052145,2971.6412575148665,100645.240050795,109151.195820065,,,
AUpdata_corrSergio_500_187125_2_100_3,P,500,10,103156.1631413385,2789.8296003748296,99992.761197445,108633.22548533,,,
AUpdata_corrSergio_500_187125_3_100_1,P,500,10,102959.04778970098,2821.3120031666767,98693.6812410699,109205.101213965,,,
AUpdata_corrSergio_500_187125_3_100_2,P,500,10,101487.0349625495,4031.473542659206,94594.7665795801,107619.92890458,,,
AUpdata_corrSergio_500_187125_3_100_3,P,500,10,99019.15924991098,1866.9574560956241,96563.02266706,102172.67375026,,,
AUpdata_corrSergio_500_187125_4_100_1,P,500,10,97671.376724777,2590.7008724255975,93758.37915525,102056.6356843,,,
AUpdata_corrSergio_500_187125_4_100_2,P,500,10,96359.030781796,2092.4816324931594,92891.190424765,98327.7485033149,,,
AUpdata_corrSergio_500_187125_4_100_3,P,500,10,94416.70479570552,2533.4558521866243,90158.187145435,98724.664060715,,,
AUpdata_corrSergio_500_187125_5_100_1,P,500,10,92867.635199043,1331.9771864898196,90728.0255215149,95405.03781254,,,
AUpdata_corrSergio_500_187125_5_100_2,P,500,10,95294.60038406053,2651.821885964551,91770.8609837,99087.669653605,,,
AUpdata_corrSergio_500_187125_5_100_3,P,500,10,91191.94564863254,2067.236480317737,88568.0819905051,93784.3584874999,,,
AUpdata_corrSergio_500_62375_10_100_1,P,500,10,113302.9351989885,3144.2854797935674,108499.420365105,118620.03504017,,,
AUpdata_corrSergio_500_62375_10_100_2,P,500,10,116906.077327525,3247.596833362215,112698.9537615,121590.642242415,,,
AUpdata_corrSergio_500_62375_10_100_3,P,500,10,116462.770238989,2974.5648677683107,112149.6607684,123566.520911305,,,
AUpdata_corrSergio_500_62375_2_100_1,P,500,10,150627.8400015425,4641.099399645346,143219.746033355,157447.89532518,,,
AUpdata_corrSergio_500_62375_2_100_2,P,500,10,153568.853610689,4298.08219767338,142806.32926281,157307.716478445,,,
AUpdata_corrSergio_500_62375_2_100_3,P,500,10,154699.9366750815,4416.760079065656,149869.518762115,162233.4268912,,,
AUpdata_corrSergio_500_62375_3_100_1,P,500,10,141356.268650674,4198.404524185137,135169.77647142,147299.09561874,,,
AUpdata_corrSergio_500_62375_3_100_2,P,500,10,142763.998899837,3550.568253794839,136100.984929575,147774.56679703,,,
AUpdata_corrSergio_500_62375_3_100_3,P,500,10,143346.8266848515,4329.053439921234,137374.25201964,149252.85675348,,,
AUpdata_corrSergio_500_62375_4_100_1,P,500,10,135587.960855752,4747.456428362145,128760.64117268,146746.77868933,,,
AUpdata_corrSergio_500_62375_4_100_2,P,500,10,135502.6766838555,2706.1873716424498,131127.918252595,138989.04934537,,,
AUpdata_corrSergio_500_62375_4_100_3,P,500,10,137581.34590664651,6210.671532964499,127588.383120345,146464.48286262,,,
AUpdata_corrSergio_500_62375_5_100_1,P,500,10,131711.4591010205,5388.198322898495,124999.838676085,141147.1756124,,,
AUpdata_corrSergio_500_62375_5_100_2,P,500,10,132376.046701743,1940.726156219128,129624.39401967,135402.399114845,,,
AUpdata_corrSergio_500_62375_5_100_3,P,500,10,133536.924361567,5651.051911722415,126369.54158762,144379.95602248,,,
AUpdata_randomSergio_100_2475_10_100_1,R,100,10,313684.7749137825,18448.969297247186,273733.0626521,340147.112738515,218654.59088482498,0.4346132575785436,0.2518971659565441
AUpdata_randomSergio_100_2475_10_100_2,R,100,10,330916.404213104,22820.716150811317,301918.9226825,374467.477126985,222490.04781266,0.48733126477522554,0.3569996754943408
AUpdata_randomSergio_100_2475_10_100_3,R,100,10,371676.9572031215,19640.78433196051,348881.809863275,406514.931421545,249307.17027844,0.4908394202541876,0.3994054381734169
AUpdata_randomSergio_100_2475_2_100_1,R,100,10,506663.666735186,23305.727343662486,477708.636155965,549195.19806023,453715.92083763995,0.11669801183038749,0.052880479208290136
AUpdata_randomSergio_100_2475_2_100_2,R,100,10,465417.1964457835,37279.363539539954,435740.29963847,521602.71672326,435740.29963846994,0.06810684444825557,1.3358337744239358e-16
AUpdata_randomSergio_100_2475_2_100_3,R,100,10,596460.495205461,25988.96935927431,538242.219088665,622556.64621658,485158.8189822801,0.22941286825757182,0.10941448043289861
AUpdata_randomSergio_100_2475_3_100_1,R,100,10,466402.5724686795,46095.56112361971,404200.70175016,554800.642463715,404200.7017501601,0.15388857676196452,-1.4400682794817626e-16
AUpdata_randomSergio_100_2475_3_100_2,R,100,10,452954.412136837,33556.05928991546,418139.76403199,505286.70347139,381424.05585021485,0.18753498944154726,0.09625955054128371
AUpdata_randomSergio_100_2475_3_100_3,R,100,10,534895.6016726275,60729.880252448296,434434.628938135,613166.832471965,427225.92068118,0.25202047857905285,0.016873293281131484
AUpdata_randomSergio_100_2475_4_100_1,R,100,10,428763.163430917,29650.955665930866,381098.921828565,474587.07580003,358884.63918469014,0.19471026791499374,0.06189811493281244
AUpdata_randomSergio_100_2475_4_100_2,R,100,10,421552.6071781665,36299.55760441762,347778.922844455,485537.468602125,347049.20886679,0.21467675594089483,0.0021026239479055857
AUpdata_randomSergio_100_2475_4_100_3,R,100,10,463575.379775853,52695.12954751153,395898.751761865,536390.587235715,367590.5349354549,0.2611189236884243,0.07701018969756858
AUpdata_randomSergio_100_2475_5_100_1,R,100,10,410057.961855834,43061.92458388426,357465.31019768,456076.11449767,324775.8925547401,0.2625874372332604,0.10065222940594411
AUpdata_randomSergio_100_2475_5_100_2,R,100,10,407300.807469071,35002.18972275148,364311.600869695,462516.45592256,315786.95243140997,0.2897961880091869,0.15366261355850278
AUpdata_randomSergio_100_2475_5_100_3,R,100,10,452886.5846453675,29367.623310055988,409447.227950735,499131.56266256,331973.463243065,0.36422526132389116,0.23337336650594004
