Instancia,bvns_random,bvns_greedy,rvns_random,rvns_greedy,salazar,SOTA,melhor_config,Dev_melhor
AUpdata_ta_ca_80_400_3_100_1,140839.966190075,148335.519635554,159219.237296438,142757.35298756,140839.966190075,140839.96619007524,bvns_random,-1.6531574804529938e-15
AUpdata_ta_ca_80_400_3_100_2,143411.833759514,143411.833759514,157745.886874491,143411.833759514,143411.833759514,143411.8337595137,bvns_random,2.029388349188653e-15
AUpdata_ta_ca_80_400_3_100_3,112742.414505929,112742.414505929,137466.99935872,112742.414505929,112742.414505929,112742.41450592894,bvns_random,5.162889332160467e-16
AUpdata_ta_ca_80_400_3_100_4,126011.899918688,126011.899918688,135372.987933731,126011.899918688,126011.899918688,126011.89991868808,bvns_random,-6.928829057139901e-16
AUpdata_ta_ca_80_400_3_100_5,123322.461034978,126514.72711733,143180.246216812,123322.461034978,123322.461034978,123322.46103497784,bvns_random,1.2979879428990194e-15
AUpdata_ta_ca_80_400_3_50_1,137838.785760588,137838.785760588,146092.073614133,140659.368184178,137838.785760588,137838.78576058816,bvns_random,-1.0557199229571013e-15
AUpdata_ta_ca_80_400_3_50_2,146597.947171457,146597.947171457,188275.222111466,146597.947171457,146597.947171457,146597.94717145714,bvns_random,-9.926411323718818e-16
AUpdata_ta_ca_80_400_3_50_3,141797.537106479,133380.026388767,164600.433966972,133380.026388767,133380.026388767,133380.02638876703,bvns_greedy,-2.1820231442977705e-16
AUpdata_ta_ca_80_400_3_50_4,145003.466335775,145003.466335775,151242.792929893,145003.466335775,145003.466335775,145003.4663357754,bvns_random,-2.6092465614678297e-15
AUpdata_ta_ca_80_400_3_50_5,136695.133283402,136695.133283402,154685.467797082,136695.133283402,136695.133283402,136695.13328340158,bvns_random,3.193657640655852e-15
AUpdata_ta_ca_80_400_4_100_1,130843.322627894,130843.322627894,170302.522455266,133777.700818113,130843.322627894,130843.32262789411,bvns_random,-8.897307060751494e-16
AUpdata_ta_ca_80_400_4_100_2,102177.512974542,102177.512974542,118460.71770931,104091.985118394,102177.512974542,102177.51297454239,bvns_random,-3.8452855205410685e-15
AUpdata_ta_ca_80_400_4_100_3,114673.608132697,114673.608132697,167802.480797215,114673.608132697,114673.608132697,114673.60813269668,bvns_random,2.7917682214517257e-15
AUpdata_ta_ca_80_400_4_100_4,97214.9408832609,97214.9408832609,120378.335686075,97868.7207227953,97214.9408832609,97214.94088326083,bvns_random,7.484402652592934e-16
AUpdata_ta_ca_80_400_4_100_5,107153.108560274,107251.209818889,133933.708707655,107251.209818889,107153.108560274,106954.15944398876,bvns_random,0.0018601344475007399
AUpdata_ta_ca_80_400_4_50_1,137404.348648253,137404.348648253,148303.346033118,153517.869852789,137404.348648253,137404.34864825278,bvns_random,1.6944925393147684e-15
AUpdata_ta_ca_80_400_4_50_2,115529.395813896,115529.395813896,152850.421665887,115529.395813896,115529.395813896,115529.39581389561,bvns_random,3.400880861515314e-15
AUpdata_ta_ca_80_400_4_50_3,129100.534968054,129100.534968054,150570.225245212,129100.534968054,129100.534968054,129100.53496805423,bvns_random,-1.80348318240109e-15
AUpdata_ta_ca_80_400_4_50_4,128093.27348201,128093.27348201,153079.144206972,133163.954342223,128093.27348201,128093.27348200961,bvns_random,3.0673094728981774e-15
AUpdata_ta_ca_80_400_4_50_5,120084.487942582,122829.59686299,148929.58156024,126084.689502664,120084.487942582,120084.48794258211,bvns_random,-9.694451283549488e-16
AUpdata_ta_ca_80_400_5_100_1,96898.8419271929,96898.8419271929,120268.300372387,96898.8419271929,96411.4453466871,96411.44534668709,salazar,1.5093555724675056e-16
AUpdata_ta_ca_80_400_5_100_2,114064.899824919,115339.448746661,141603.368288172,114064.899824919,112053.994494665,112053.99449466454,salazar,4.155686634892e-15
AUpdata_ta_ca_80_400_5_100_3,81703.7851889898,81703.7851889898,95454.4611387282,84154.1984422946,81703.7851889898,81703.78518898984,bvns_random,-5.343172973457718e-16
AUpdata_ta_ca_80_400_5_100_4,111537.76320476,111537.76320476,130369.82384894,111537.76320476,111537.76320476,111537.76320476006,bvns_random,-5.218650548568944e-16
AUpdata_ta_ca_80_400_5_100_5,98233.2538988652,104018.868040719,132088.477718443,104018.868040719,98233.2538988652,98233.25389886522,bvns_random,-2.9627269078042733e-16
