instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\P\n=40\AUpdata_ta_cp_40_100_5_50_5.txt,AUpdata_ta_cp_40_100_5_50_5,40,5,50,bvns,42,49902.4620273398,0.1644285
instances\P\n=40\AUpdata_ta_cp_40_300_2_100_1.txt,AUpdata_ta_cp_40_300_2_100_1,40,2,100,bvns,42,12152.3042607783,0.0563581
instances\P\n=40\AUpdata_ta_cp_40_300_2_100_2.txt,AUpdata_ta_cp_40_300_2_100_2,40,2,100,bvns,42,14926.32966799,0.0545236
instances\P\n=40\AUpdata_ta_cp_40_300_2_100_3.txt,AUpdata_ta_cp_40_300_2_100_3,40,2,100,bvns,42,15473.0600634411,0.0578544
instances\P\n=40\AUpdata_ta_cp_40_300_2_100_4.txt,AUpdata_ta_cp_40_300_2_100_4,40,2,100,bvns,42,20963.766001909,0.0518519
instances\P\n=40\AUpdata_ta_cp_40_300_2_100_5.txt,AUpdata_ta_cp_40_300_2_100_5,40,2,100,bvns,42,21909.0131063313,0.0536597
instances\P\n=40\AUpdata_ta_cp_40_300_2_50_1.txt,AUpdata_ta_cp_40_300_2_50_1,40,2,50,bvns,42,13531.1100343464,0.055617
instances\P\n=40\AUpdata_ta_cp_40_300_2_50_2.txt,AUpdata_ta_cp_40_300_2_50_2,40,2,50,bvns,42,17384.8368666205,0.055865
instances\P\n=40\AUpdata_ta_cp_40_300_2_50_3.txt,AUpdata_ta_cp_40_300_2_50_3,40,2,50,bvns,42,17663.1791944002,0.0523
instances\P\n=40\AUpdata_ta_cp_40_300_2_50_4.txt,AUpdata_ta_cp_40_300_2_50_4,40,2,50,bvns,42,14402.9391475455,0.0568822
instances\P\n=40\AUpdata_ta_cp_40_300_2_50_5.txt,AUpdata_ta_cp_40_300_2_50_5,40,2,50,bvns,42,14916.2878031784,0.0553694
instances\P\n=40\AUpdata_ta_cp_40_300_3_100_1.txt,AUpdata_ta_cp_40_300_3_100_1,40,3,100,bvns,42,16779.6408822143,0.0846946
instances\P\n=40\AUpdata_ta_cp_40_300_3_100_2.txt,AUpdata_ta_cp_40_300_3_100_2,40,3,100,bvns,42,17803.5030143306,0.0806895
instances\P\n=40\AUpdata_ta_cp_40_300_3_100_3.txt,AUpdata_ta_cp_40_300_3_100_3,40,3,100,bvns,42,12530.893385602,0.088278
instances\P\n=40\AUpdata_ta_cp_40_300_3_100_4.txt,AUpdata_ta_cp_40_300_3_100_4,40,3,100,bvns,42,9961.16022102131,0.0880463
instances\P\n=40\AUpdata_ta_cp_40_300_3_100_5.txt,AUpdata_ta_cp_40_300_3_100_5,40,3,100,bvns,42,15019.9429091572,0.1022167
instances\P\n=40\AUpdata_ta_cp_40_300_3_50_1.txt,AUpdata_ta_cp_40_300_3_50_1,40,3,50,bvns,42,13874.8927076251,0.0965679
instances\P\n=40\AUpdata_ta_cp_40_300_3_50_2.txt,AUpdata_ta_cp_40_300_3_50_2,40,3,50,bvns,42,12728.674960489,0.0881261
instances\P\n=40\AUpdata_ta_cp_40_300_3_50_3.txt,AUpdata_ta_cp_40_300_3_50_3,40,3,50,bvns,42,16406.158900903,0.1051416
instances\P\n=40\AUpdata_ta_cp_40_300_3_50_4.txt,AUpdata_ta_cp_40_300_3_50_4,40,3,50,bvns,42,15475.9245552017,0.0934729
instances\P\n=40\AUpdata_ta_cp_40_300_3_50_5.txt,AUpdata_ta_cp_40_300_3_50_5,40,3,50,bvns,42,15875.9688962172,0.0875046
instances\P\n=40\AUpdata_ta_cp_40_300_4_100_1.txt,AUpdata_ta_cp_40_300_4_100_1,40,4,100,bvns,42,5078.69452783078,0.1295449
instances\P\n=40\AUpdata_ta_cp_40_300_4_100_2.txt,AUpdata_ta_cp_40_300_4_100_2,40,4,100,bvns,42,10865.537902907,0.1214238
instances\P\n=40\AUpdata_ta_cp_40_300_4_100_3.txt,AUpdata_ta_cp_40_300_4_100_3,40,4,100,bvns,42,12281.8390224582,0.199708
instances\P\n=40\AUpdata_ta_cp_40_300_4_100_4.txt,AUpdata_ta_cp_40_300_4_100_4,40,4,100,bvns,42,18230.1349909775,0.1163937
instances\P\n=40\AUpdata_ta_cp_40_300_4_100_5.txt,AUpdata_ta_cp_40_300_4_100_5,40,4,100,bvns,42,10964.9076336472,0.1171746
