instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\P\n=20\AUpdata_ta_cp_20_100_2_50_1.txt,AUpdata_ta_cp_20_100_2_50_1,20,2,50,rvns,42,16457.8510286505,0.004781
instances\P\n=20\AUpdata_ta_cp_20_100_2_50_2.txt,AUpdata_ta_cp_20_100_2_50_2,20,2,50,rvns,42,9130.7326971901,0.0049646
instances\P\n=20\AUpdata_ta_cp_20_100_2_50_3.txt,AUpdata_ta_cp_20_100_2_50_3,20,2,50,rvns,42,5868.22822659082,0.0050361
instances\P\n=20\AUpdata_ta_cp_20_100_2_50_4.txt,AUpdata_ta_cp_20_100_2_50_4,20,2,50,rvns,42,8990.36721215774,0.0046576
instances\P\n=20\AUpdata_ta_cp_20_100_2_50_5.txt,AUpdata_ta_cp_20_100_2_50_5,20,2,50,rvns,42,7883.42877036373,0.0044703
instances\P\n=20\AUpdata_ta_cp_20_100_3_100_1.txt,AUpdata_ta_cp_20_100_3_100_1,20,3,100,rvns,42,5452.1385611102,0.0056426
instances\P\n=20\AUpdata_ta_cp_20_100_3_100_2.txt,AUpdata_ta_cp_20_100_3_100_2,20,3,100,rvns,42,9311.9184253782,0.0073434
instances\P\n=20\AUpdata_ta_cp_20_100_3_100_3.txt,AUpdata_ta_cp_20_100_3_100_3,20,3,100,rvns,42,3969.0064075025,0.0059433
instances\P\n=20\AUpdata_ta_cp_20_100_3_100_4.txt,AUpdata_ta_cp_20_100_3_100_4,20,3,100,rvns,42,7205.2086128614,0.0066035
instances\P\n=20\AUpdata_ta_cp_20_100_3_100_5.txt,AUpdata_ta_cp_20_100_3_100_5,20,3,100,rvns,42,5630.9678250022,0.0059989
instances\P\n=20\AUpdata_ta_cp_20_100_3_50_1.txt,AUpdata_ta_cp_20_100_3_50_1,20,3,50,rvns,42,10920.8739377705,0.0071921
instances\P\n=20\AUpdata_ta_cp_20_100_3_50_2.txt,AUpdata_ta_cp_20_100_3_50_2,20,3,50,rvns,42,6308.3816507767,0.0055633
instances\P\n=20\AUpdata_ta_cp_20_100_3_50_3.txt,AUpdata_ta_cp_20_100_3_50_3,20,3,50,rvns,42,3146.83702679673,0.0055523
instances\P\n=20\AUpdata_ta_cp_20_100_3_50_4.txt,AUpdata_ta_cp_20_100_3_50_4,20,3,50,rvns,42,6175.9938401936,0.0062198
instances\P\n=20\AUpdata_ta_cp_20_100_3_50_5.txt,AUpdata_ta_cp_20_100_3_50_5,20,3,50,rvns,42,3571.8098858654,0.0060906
instances\P\n=20\AUpdata_ta_cp_20_100_4_100_1.txt,AUpdata_ta_cp_20_100_4_100_1,20,4,100,rvns,42,6069.7686217624,0.0067592
instances\P\n=20\AUpdata_ta_cp_20_100_4_100_2.txt,AUpdata_ta_cp_20_100_4_100_2,20,4,100,rvns,42,4202.3330471045,0.006322
instances\P\n=20\AUpdata_ta_cp_20_100_4_100_3.txt,AUpdata_ta_cp_20_100_4_100_3,20,4,100,rvns,42,5535.71527786545,0.0071304
instances\P\n=20\AUpdata_ta_cp_20_100_4_100_4.txt,AUpdata_ta_cp_20_100_4_100_4,20,4,100,rvns,42,4147.79588875499,0.0066236
instances\P\n=20\AUpdata_ta_cp_20_100_4_100_5.txt,AUpdata_ta_cp_20_100_4_100_5,20,4,100,rvns,42,2590.80624346345,0.0072305
instances\P\n=20\AUpdata_ta_cp_20_100_4_50_1.txt,AUpdata_ta_cp_20_100_4_50_1,20,4,50,rvns,42,5807.75498025827,0.0074545
instances\P\n=20\AUpdata_ta_cp_20_100_4_50_2.txt,AUpdata_ta_cp_20_100_4_50_2,20,4,50,rvns,42,6156.6419506415,0.0062805
instances\P\n=20\AUpdata_ta_cp_20_100_4_50_3.txt,AUpdata_ta_cp_20_100_4_50_3,20,4,50,rvns,42,5988.02572313825,0.0064464
instances\P\n=20\AUpdata_ta_cp_20_100_4_50_4.txt,AUpdata_ta_cp_20_100_4_50_4,20,4,50,rvns,42,3421.22083571185,0.0069359
instances\P\n=20\AUpdata_ta_cp_20_100_4_50_5.txt,AUpdata_ta_cp_20_100_4_50_5,20,4,50,rvns,42,5912.4970000355,0.0060621
instances\P\n=20\AUpdata_ta_cp_20_100_5_100_1.txt,AUpdata_ta_cp_20_100_5_100_1,20,5,100,rvns,42,4683.60796738912,0.0077461
instances\P\n=20\AUpdata_ta_cp_20_100_5_100_2.txt,AUpdata_ta_cp_20_100_5_100_2,20,5,100,rvns,42,2195.03418499586,0.0073825
instances\P\n=20\AUpdata_ta_cp_20_100_5_100_3.txt,AUpdata_ta_cp_20_100_5_100_3,20,5,100,rvns,42,4302.31112042196,0.0072963
instances\P\n=20\AUpdata_ta_cp_20_100_5_100_4.txt,AUpdata_ta_cp_20_100_5_100_4,20,5,100,rvns,42,1914.81715022904,0.0073491
instances\P\n=20\AUpdata_ta_cp_20_100_5_100_5.txt,AUpdata_ta_cp_20_100_5_100_5,20,5,100,rvns,42,4898.30276440255,0.0069014
instances\P\n=20\AUpdata_ta_cp_20_100_5_50_1.txt,AUpdata_ta_cp_20_100_5_50_1,20,5,50,rvns,42,2769.69380566539,0.0071931
instances\P\n=20\AUpdata_ta_cp_20_100_5_50_2.txt,AUpdata_ta_cp_20_100_5_50_2,20,5,50,rvns,42,4417.4211666635,0.0070293
instances\P\n=20\AUpdata_ta_cp_20_100_5_50_3.txt,AUpdata_ta_cp_20_100_5_50_3,20,5,50,rvns,42,5457.11297682355,0.0071304
instances\P\n=20\AUpdata_ta_cp_20_100_5_50_4.txt,AUpdata_ta_cp_20_100_5_50_4,20,5,50,rvns,42,1447.3592798297,0.0081094
instances\P\n=20\AUpdata_ta_cp_20_100_5_50_5.txt,AUpdata_ta_cp_20_100_5_50_5,20,5,50,rvns,42,4951.7896340641,0.007326
instances\P\n=20\AUpdata_ta_cp_20_150_2_100_1.txt,AUpdata_ta_cp_20_150_2_100_1,20,2,100,rvns,42,4740.5654089422,0.0044008
instances\P\n=20\AUpdata_ta_cp_20_150_2_100_2.txt,AUpdata_ta_cp_20_150_2_100_2,20,2,100,rvns,42,6598.63925483185,0.0047939
instances\P\n=20\AUpdata_ta_cp_20_150_2_100_3.txt,AUpdata_ta_cp_20_150_2_100_3,20,2,100,rvns,42,6580.5103354317,0.0047171
instances\P\n=20\AUpdata_ta_cp_20_150_2_100_4.txt,AUpdata_ta_cp_20_150_2_100_4,20,2,100,rvns,42,5776.3155795126,0.0045061
instances\P\n=20\AUpdata_ta_cp_20_150_2_100_5.txt,AUpdata_ta_cp_20_150_2_100_5,20,2,100,rvns,42,6686.75065879464,0.0050772
instances\P\n=20\AUpdata_ta_cp_20_150_2_50_1.txt,AUpdata_ta_cp_20_150_2_50_1,20,2,50,rvns,42,5125.1469441661,0.0053235
instances\P\n=20\AUpdata_ta_cp_20_150_2_50_2.txt,AUpdata_ta_cp_20_150_2_50_2,20,2,50,rvns,42,6773.3035875393,0.0045304
instances\P\n=20\AUpdata_ta_cp_20_150_2_50_3.txt,AUpdata_ta_cp_20_150_2_50_3,20,2,50,rvns,42,7948.44653021585,0.0045823
