instancia_rel,basename,grupo,p,B,alg,seed,objetivo,tempo_s
instances\R\n=40\AUpdata_ta_ca_40_300_5_50_2.txt,AUpdata_ta_ca_40_300_5_50_2,40,5,50,rvns,42,51319.8798759862,0.0025584
instances\R\n=40\AUpdata_ta_ca_40_300_5_50_3.txt,AUpdata_ta_ca_40_300_5_50_3,40,5,50,rvns,42,33132.2887762302,0.0026744
instances\R\n=40\AUpdata_ta_ca_40_300_5_50_4.txt,AUpdata_ta_ca_40_300_5_50_4,40,5,50,rvns,42,43226.0724246876,0.002566
instances\R\n=40\AUpdata_ta_ca_40_300_5_50_5.txt,AUpdata_ta_ca_40_300_5_50_5,40,5,50,rvns,42,46148.0026668144,0.0025942
instances\R\n=40\AUpdata_ta_ca_40_500_2_100_1.txt,AUpdata_ta_ca_40_500_2_100_1,40,2,100,rvns,42,59889.6400083267,0.0017136
instances\R\n=40\AUpdata_ta_ca_40_500_2_100_2.txt,AUpdata_ta_ca_40_500_2_100_2,40,2,100,rvns,42,61353.2920638449,0.0015288
instances\R\n=40\AUpdata_ta_ca_40_500_2_100_3.txt,AUpdata_ta_ca_40_500_2_100_3,40,2,100,rvns,42,50946.043925892,0.0017122
instances\R\n=40\AUpdata_ta_ca_40_500_2_100_4.txt,AUpdata_ta_ca_40_500_2_100_4,40,2,100,rvns,42,56810.1429704895,0.0014056
instances\R\n=40\AUpdata_ta_ca_40_500_2_100_5.txt,AUpdata_ta_ca_40_500_2_100_5,40,2,100,rvns,42,39938.5323254182,0.0013238
instances\R\n=40\AUpdata_ta_ca_40_500_2_50_1.txt,AUpdata_ta_ca_40_500_2_50_1,40,2,50,rvns,42,62926.260691796,0.0017624
instances\R\n=40\AUpdata_ta_ca_40_500_2_50_2.txt,AUpdata_ta_ca_40_500_2_50_2,40,2,50,rvns,42,49814.8098542014,0.0015535
instances\R\n=40\AUpdata_ta_ca_40_500_2_50_3.txt,AUpdata_ta_ca_40_500_2_50_3,40,2,50,rvns,42,55461.9199161184,0.0013721
instances\R\n=40\AUpdata_ta_ca_40_500_2_50_4.txt,AUpdata_ta_ca_40_500_2_50_4,40,2,50,rvns,42,50658.3408854178,0.0018993
instances\R\n=40\AUpdata_ta_ca_40_500_2_50_5.txt,AUpdata_ta_ca_40_500_2_50_5,40,2,50,rvns,42,59087.3443397009,0.0013419
instances\R\n=40\AUpdata_ta_ca_40_500_3_100_1.txt,AUpdata_ta_ca_40_500_3_100_1,40,3,100,rvns,42,55294.8630681645,0.0022593
instances\R\n=40\AUpdata_ta_ca_40_500_3_100_2.txt,AUpdata_ta_ca_40_500_3_100_2,40,3,100,rvns,42,34846.0146475312,0.0024585
instances\R\n=40\AUpdata_ta_ca_40_500_3_100_3.txt,AUpdata_ta_ca_40_500_3_100_3,40,3,100,rvns,42,55974.2431624822,0.0019013
instances\R\n=40\AUpdata_ta_ca_40_500_3_100_4.txt,AUpdata_ta_ca_40_500_3_100_4,40,3,100,rvns,42,66592.0191603077,0.0017605
instances\R\n=40\AUpdata_ta_ca_40_500_3_100_5.txt,AUpdata_ta_ca_40_500_3_100_5,40,3,100,rvns,42,37186.4359198566,0.0020924
instances\R\n=40\AUpdata_ta_ca_40_500_3_50_1.txt,AUpdata_ta_ca_40_500_3_50_1,40,3,50,rvns,42,69593.3788370655,0.0016938
instances\R\n=40\AUpdata_ta_ca_40_500_3_50_2.txt,AUpdata_ta_ca_40_500_3_50_2,40,3,50,rvns,42,54535.7164644364,0.0021784
instances\R\n=40\AUpdata_ta_ca_40_500_3_50_3.txt,AUpdata_ta_ca_40_500_3_50_3,40,3,50,rvns,42,70256.7631896816,0.001984
instances\R\n=40\AUpdata_ta_ca_40_500_3_50_4.txt,AUpdata_ta_ca_40_500_3_50_4,40,3,50,rvns,42,57300.164264185,0.0017427
instances\R\n=40\AUpdata_ta_ca_40_500_3_50_5.txt,AUpdata_ta_ca_40_500_3_50_5,40,3,50,rvns,42,49537.8340674443,0.0023086
instances\R\n=40\AUpdata_ta_ca_40_500_4_100_1.txt,AUpdata_ta_ca_40_500_4_100_1,40,4,100,rvns,42,37648.5624875123,0.0027202
instances\R\n=40\AUpdata_ta_ca_40_500_4_100_2.txt,AUpdata_ta_ca_40_500_4_100_2,40,4,100,rvns,42,49560.3685968418,0.0021616
instances\R\n=40\AUpdata_ta_ca_40_500_4_100_3.txt,AUpdata_ta_ca_40_500_4_100_3,40,4,100,rvns,42,35692.6881489524,0.0027847
instances\R\n=40\AUpdata_ta_ca_40_500_4_100_4.txt,AUpdata_ta_ca_40_500_4_100_4,40,4,100,rvns,42,57801.2892133657,0.0023025
instances\R\n=40\AUpdata_ta_ca_40_500_4_100_5.txt,AUpdata_ta_ca_40_500_4_100_5,40,4,100,rvns,42,33494.6970713437,0.0027095
instances\R\n=40\AUpdata_ta_ca_40_500_4_50_1.txt,AUpdata_ta_ca_40_500_4_50_1,40,4,50,rvns,42,35631.0965719691,0.0024221
instances\R\n=40\AUpdata_ta_ca_40_500_4_50_2.txt,AUpdata_ta_ca_40_500_4_50_2,40,4,50,rvns,42,37998.7388597629,0.0020083
instances\R\n=40\AUpdata_ta_ca_40_500_4_50_3.txt,AUpdata_ta_ca_40_500_4_50_3,40,4,50,rvns,42,49540.9362591861,0.0028026
